Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Climb Time,Min Temp,Best Lap Time,Number of Laps
Running,2/2/2020 7:38,San Diego Running,6.2,667,0:50:40,152,165,3.9,171,185,8:11,7:35,46,56,1.15,50:40:00,59,01:32.9,7
Treadmill Running,1/30/2020 15:43,Treadmill Running,3.05,366,0:30:13,141,161,3.1,170,180,9:54,7:41,0,0,0.96,30:13:00,75.2,00:28.0,4
Elliptical,1/27/2020 13:51,Elliptical,0,356,0:30:32,140,158,3,50,141,0,0,0,0,0,30:32:00,80.6,00:00.0,1
Running,1/26/2020 17:05,Santee Running,4.39,460,0:36:30,145,160,3.3,172,182,8:18,7:05,302,308,1.13,36:30:00,62.6,03:11.3,5
Running,1/25/2020 7:49,Escondido Running,11.02,1249,1:39:58,148,167,4.2,172,180,9:04,7:45,331,322,1.03,1:39:58,51.8,00:08.5,12
Running,1/23/2020 19:23,Santee Running,5.01,562,0:45:46,140,163,3.3,169,178,9:08,7:53,108,69,1.04,45:46:00,60.8,00:04.1,6
Running,1/22/2020 17:48,Running,4.12,540,0:40:19,149,172,3.7,167,180,9:48,7:59,0,7,0.98,40:19:00,75.2,00:59.8,5
Elliptical,1/21/2020 15:36,Elliptical,0,306,0:32:07,125,152,2.4,23,126,0,0,0,0,0,32:07:00,78.8,00:00.0,1
Running,1/20/2020 9:16,El Cajon Running,5.1,502,0:40:33,144,162,3.5,175,190,7:57,6:47,85,102,1.16,40:33:00,60.8,00:43.6,6
Running,1/18/2020 7:29,San Diego Running,13.14,1432,2:11:55,142,168,3.9,167,196,10:03,7:41,676,659,0.96,2:11:55,44.6,01:11.6,14
Elliptical,1/17/2020 14:26,Elliptical,0,192,0:25:19,112,135,1,111,134,0,0,0,0,0,25:19:00,80.6,00:00.0,1
Running,1/16/2020 15:30,Running,4.05,526,0:46:11,136,149,3,160,176,11:24,10:23,3,7,0.88,46:11:00,78.8,01:02.3,5
Elliptical,1/15/2020 15:21,Elliptical,0,651,1:00:19,136,163,3.2,89,140,0,0,0,0,0,1:00:19,78.8,00:00.0,1
Running,1/14/2020 14:59,San Diego Running,4.04,504,0:43:22,142,159,3.3,164,178,10:43,8:39,10,3,0.92,43:22:00,77,00:28.7,5
Elliptical,1/13/2020 15:11,Elliptical,0,666,1:00:10,141,165,3.7,79,138,0,0,0,0,0,1:00:10,78.8,00:00.0,1
Running,1/11/2020 7:26,San Diego Running,11.02,1121,1:40:34,144,165,4,170,178,9:08,8:17,194,167,1.04,1:40:34,51.8,00:07.9,12
Elliptical,1/10/2020 16:09,Elliptical,0,345,0:32:11,134,157,2.8,60,128,0,0,0,0,0,32:11:00,77,00:00.0,1
Elliptical,1/9/2020 15:07,Elliptical,0,409,0:42:06,130,154,2.7,10,123,0,0,0,0,0,42:06:00,78.8,00:00.0,1
Treadmill Running,1/8/2020 15:54,Treadmill Running,6.81,773,1:00:25,151,173,4.1,167,190,8:52,5:57,0,0,1.09,1:00:25,77,07:01.6,7
Treadmill Running,1/7/2020 16:42,Treadmill Running,0.69,215,0:32:04,109,153,1.2,62,150,46:34:00,9:53,0,0,0.56,32:04:00,78.8,00:00.0,1
Elliptical,1/6/2020 16:39,Elliptical,0,328,0:32:21,131,154,2.7,33,127,0,0,0,0,0,32:21:00,80.6,00:00.0,1
Running,1/4/2020 8:13,San Diego Running,5.04,524,0:48:08,136,155,3,172,188,9:33,8:10,259,266,0.98,48:08:00,60.8,00:22.3,6
Running,1/1/2020 15:22,Chula Vista Running,5.33,700,2:21:33,91,124,1.2,87,152,26:32:00,6:36,1122,1066,0.7,2:21:33,59,00:07.1,8
Elliptical,12/30/2019 15:40,Elliptical,0,724,1:31:36,126,164,3,27,158,0,0,0,0,0,1:31:36,78.8,00:00.0,1
Treadmill Running,12/28/2019 10:32,Treadmill Running,6.73,723,1:00:19,146,164,3.9,166,170,8:58,7:34,0,0,1.08,1:00:19,80.6,06:48.6,7
Elliptical,12/26/2019 12:21,Elliptical,0,463,0:50:07,128,156,2.5,0,122,0,0,0,0,0,50:07:00,75.2,00:00.0,1
Running,12/25/2019 11:49,Santee Running,10.01,969,1:26:01,146,170,4,171,184,8:35,6:36,338,312,1.09,1:26:01,60.8,00:06.7,11
Elliptical,12/24/2019 9:15,Elliptical,0,304,0:45:09,114,131,1.5,4,138,0,0,0,0,0,45:09:00,77,00:00.0,1
Running,12/23/2019 7:34,Santee Running,7.14,758,1:10:25,144,162,3.6,168,180,9:51,2:59,394,253,0.97,1:10:25,59,01:18.4,8
Running,12/22/2019 18:09,Running,0.02,0,00:20.7,55,63,0,101,134,15:58,11:30,0,0,1,00:20.7,78.8,00:00.0,1
Elliptical,12/22/2019 18:05,Elliptical,0,6,01:11.9,100,115,0,2,122,0,0,0,0,0,01:11.9,78.8,00:00.0,1
Elliptical,12/21/2019 12:34,Elliptical,0,650,1:12:16,132,163,3.3,21,138,0,0,0,0,0,1:12:16,77,00:00.0,1
Treadmill Running,12/20/2019 15:35,Treadmill Running,0.69,90,0:10:08,122,133,1.1,159,169,14:36,12:53,0,0,0.7,10:08,77,00:00.0,1
Treadmill Running,12/19/2019 16:13,Treadmill Running,2.12,271,0:30:22,125,144,2.2,160,168,14:19,13:08,0,0,0.7,30:22:00,75.2,01:48.6,3
Elliptical,12/18/2019 15:04,Elliptical,0,576,1:00:12,134,160,3.1,63,138,0,0,0,0,0,1:00:12,77,00:00.0,1
Treadmill Running,12/17/2019 11:51,Treadmill Running,4.46,604,1:00:06,136,152,3.1,164,175,13:28,11:53,0,0,0.73,1:00:06,75.2,06:12.5,5
Elliptical,12/16/2019 14:08,Elliptical,0,530,0:47:19,149,173,3.7,88,138,0,0,0,0,0,47:19:00,77,00:00.0,1
Treadmill Running,12/12/2019 15:52,Treadmill Running,2.19,323,0:30:08,138,149,2.7,162,169,13:46,13:00,0,0,0.72,30:08:00,75.2,02:35.0,3
Elliptical,12/11/2019 15:32,Elliptical,0,754,1:00:22,140,168,5,109,137,0,0,0,0,0,1:00:22,78.8,00:00.0,1
Treadmill Running,12/10/2019 15:44,Treadmill Running,2.65,318,0:36:06,125,149,2.2,164,171,13:38,12:43,0,0,0.72,36:06:00,73.4,08:45.3,3
Elliptical,12/9/2019 14:27,Elliptical,0,507,0:45:05,130,154,3.5,97,225,0,0,0,0,0,45:05:00,77,00:00.0,1
Running,12/7/2019 6:45,San Diego Running,16.05,1462,2:31:38,146,171,5,166,191,9:27,8:02,669,712,1.03,2:31:38,64.4,00:33.3,17
Elliptical,12/6/2019 11:15,Elliptical,0,349,0:30:04,138,163,3.9,89,131,0,0,0,0,0,30:04:00,77,00:00.0,1
Treadmill Running,12/5/2019 15:22,Treadmill Running,0.69,240,0:40:06,111,132,1.5,67,145,58:03:00,17:06,0,0,0.41,40:06:00,77,00:00.0,1
Treadmill Running,12/3/2019 17:04,Treadmill Running,4.7,504,0:45:05,150,168,4.2,165,185,9:36,5:27,0,0,1.39,45:05:00,77,03:06.4,7
Treadmill Running,12/2/2019 23:52,Treadmill Running,0.17,28,05:14.7,101,125,0.3,76,115,30:06:00,17:44,0,0,0.7,05:14.7,84.2,00:00.0,1
Running,12/2/2019 16:21,Running,0.48,190,0:42:18,113,159,0,28,132,0,10:58,0,0,0.65,42:18:00,0,00:00.0,1
Running,11/30/2019 6:39,San Diego Running,16.03,2097,2:36:49,139,168,0,170,196,9:47,7:23,538,537,0.97,2:36:49,0,00:16.1,17
Running,11/28/2019 8:01,Santee Running,5,582,0:49:20,124,135,0,170,178,9:52,8:35,238,238,0.96,49:20:00,0,00:00.8,6
Running,11/22/2019 17:05,Running,0.15,112,0:20:07,115,148,0,19,127,0,11:11,0,0,0.63,20:07,0,00:00.0,1
Running,11/18/2019 16:00,Running,0.56,500,0:52:06,139,155,0,26,133,0,10:25,0,0,0.66,52:06:00,0,00:00.0,1
Running,11/17/2019 6:37,Running,7.49,608,1:04:50,147,173,0,171,180,8:39,6:48,0,0,1.09,1:04:50,0,05:14.1,8
Running,11/16/2019 14:53,Running,2.6,386,1:05:08,115,156,0,88,133,25:04:00,16:43,0,0,0.71,1:05:08,0,17:42.9,3
Running,11/15/2019 14:22,Running,7.44,982,1:04:53,0,0,0,167,178,8:43,7:09,0,0,1.1,1:04:53,0,06:42.5,8
Running,11/11/2019 15:59,San Diego Running,3.5,320,0:41:00,125,137,0,168,186,11:44,4:53,29,41,0.81,41:00:00,0,07:40.6,4
Running,11/10/2019 15:40,Santee Running,0.37,534,1:02:28,130,168,0,1,122,0,55:18:00,0,0,11.21,1:02:28,0,00:00.0,1
Running,11/9/2019 6:37,San Diego Running,14.13,1694,2:15:52,129,171,0,172,186,9:37,4:30,882,902,0.97,2:15:52,0,01:10.2,15
Running,11/7/2019 16:46,Running,0.28,345,0:42:04,127,162,0,17,129,0,10:58,0,0,0.63,42:04:00,0,00:00.0,1
Running,11/6/2019 16:38,Running,0.48,275,0:32:20,132,161,0,37,130,0,11:01,0,0,0.64,32:20:00,0,00:00.0,1
Running,11/5/2019 18:21,San Diego Running,3.38,391,0:29:24,130,152,0,173,192,8:42,5:41,537,570,1.07,29:24:00,0,02:57.3,4
Running,11/4/2019 16:30,San Diego Running,0.64,487,1:01:17,132,164,0,25,131,0,6:48,148,138,0.67,1:01:17,0,00:00.0,1
Running,11/2/2019 6:43,Solana Beach Running,18.23,2097,3:00:03,157,178,0,169,190,9:53,6:37,488,494,0.96,3:00:03,0,02:27.3,19
Running,11/1/2019 14:28,San Diego Running,0.66,190,0:32:07,126,160,0,52,146,48:41:00,8:19,20,40,0.64,32:07:00,0,00:00.0,1
Running,10/31/2019 16:41,Running,0.54,392,1:02:07,119,158,0,22,130,0,10:43,0,0,0.62,1:02:07,0,00:00.0,1
Running,10/30/2019 17:43,Running,5.09,463,0:48:02,140,166,0,167,204,9:26,5:53,0,0,1.02,48:02:00,0,01:36.3,6
Running,10/28/2019 16:17,Running,0.43,338,0:42:07,126,156,0,25,143,0,10:51,0,0,0.66,42:07:00,0,00:00.0,1
