id,type,start_date_local,x_start_h,name,x_min,x_mi,x_min/mi,x_mph,x_max_mph,total_elevation_gain,average_heartrate,max_heartrate,average_cadence,x_nearest_city_start,x_dist_start_end_km,start_latlng,end_latlng,elev_low,elev_high,athlete_count,average_temp,distance,elapsed_time,start_latitude,start_longitude,timezone,x_date,x_elev_%,x_url
1272564041,Run,11.11.2017 07:38:15,7.6,Morning Run,69.7,7.193,9.68,6.2,7.83,238.6,,,83,NA-US-CA-La Mesa,3,"[32.827353, -117.052251]","[32.845658, -117.028139]",76.3,215.4,2,,11576.4,4995,32.827353,-117.052251,(GMT-08:00) America/Los_Angeles,2017-11-11,2.06,https://www.strava.com/activities/1272564041
1276537360,Run,14.11.2017 19:16:00,19.3,Evening Run,9.3,1.562,5.99,10.02,12.97,0,91.9,118,94.6,NA-US-CA-Coronado,0,"[32.721105, -117.150026]","[32.721192, -117.150107]",40.7,41.2,14,,2513.7,1538,32.721105,-117.150026,(GMT-08:00) America/Los_Angeles,2017-11-14,,https://www.strava.com/activities/1276537360
1278531082,Run,16.11.2017 05:26:42,5.4,Morning Run,171.8,16.669,10.31,5.82,7.83,252.1,161.1,185,82.3,NA-US-CA-Santee,0,"[32.853615, -116.96053]","[32.853683, -116.960508]",96,231.4,1,,26825.8,11078,32.853615,-116.96053,(GMT-08:00) America/Los_Angeles,2017-11-16,0.94,https://www.strava.com/activities/1278531082
1293621212,Run,19.11.2017 06:53:49,6.9,Morning Run,21.7,2.151,10.09,5.95,6.49,6.3,,,84.8,NA-US-CA-Arcata,0.2,"[40.90273, -124.083311]","[40.901209, -124.082928]",11.2,15.1,2,,3461,1445,40.90273,-124.083311,(GMT-08:00) America/Los_Angeles,2017-11-19,0.18,https://www.strava.com/activities/1293621212
1293621205,Run,20.11.2017 16:39:48,16.7,Afternoon Run,19.8,2.149,9.21,6.51,8.95,0,152.8,168,83.6,,,,,,,1,,3458.8,1188,,,(GMT-08:00) America/Los_Angeles,2017-11-20,,https://www.strava.com/activities/1293621205
1293621220,Run,21.11.2017 21:22:30,21.4,Night Run,2.3,0.54,4.19,14.31,11.63,0,103.8,132,78.3,NA-US-WA-Vancouver,0,"[45.583469, -122.574849]","[45.583312, -122.5751]",6.5,7.2,1,,869.7,1544,45.583469,-122.574849,(GMT-08:00) America/Los_Angeles,2017-11-21,,https://www.strava.com/activities/1293621220
1293621244,Run,22.11.2017 09:42:41,9.7,Morning Run,103.1,4.745,21.74,2.76,5.59,318.9,,,56,NA-US-OR-Portland,0.2,"[45.533889, -122.713727]","[45.535853, -122.712704]",30,288.4,1,,7636.3,10283,45.533889,-122.713727,(GMT-08:00) America/Los_Angeles,2017-11-22,4.18,https://www.strava.com/activities/1293621244
1297425818,Run,28.11.2017 19:01:17,19,Evening Run,9.1,1.089,8.31,7.22,9.4,0,120.5,138,85.4,NA-US-CA-Coronado,0,"[32.720852, -117.150011]","[32.721129, -117.150088]",40.7,43.1,15,,1752.2,797,32.720852,-117.150011,(GMT-08:00) America/Los_Angeles,2017-11-28,,https://www.strava.com/activities/1297425818
1303164969,Run,03.12.2017 07:01:40,7,Morning Run,264.9,26.324,10.06,5.96,8.28,215.9,153.8,186,81.2,NA-US-CA-Folsom,31.6,"[38.703758, -121.170297]","[38.577445, -121.496768]",4.9,109,259,,42364.5,15896,38.703758,-121.170297,(GMT-08:00) America/Los_Angeles,2017-12-03,0.51,https://www.strava.com/activities/1303164969
1347041496,Run,05.12.2017 19:12:20,19.2,Evening Run,35.5,4.047,8.77,6.84,11.41,0,124.5,143,85.9,NA-US-CA-Coronado,0,"[32.721116, -117.150031]","[32.721095, -117.150212]",40.7,42.8,15,,6513.4,3015,32.721116,-117.150031,(GMT-08:00) America/Los_Angeles,2017-12-05,,https://www.strava.com/activities/1347041496
1347041539,Run,27.12.2017 16:44:31,16.7,Afternoon Run,47.3,5.107,9.26,6.48,7.83,43.4,122.6,155,82.1,NA-US-CA-Santee,0,"[32.853676, -116.960745]","[32.853659, -116.960536]",102.4,131,1,,8219.5,2859,32.853676,-116.960745,(GMT-08:00) America/Los_Angeles,2017-12-27,0.53,https://www.strava.com/activities/1347041539
1347041587,Run,29.12.2017 07:55:49,7.9,Morning Run,205.5,9.481,21.68,2.77,9.4,118.7,,,55.2,NA-US-CA-Big Bear Lake,8.4,"[34.297282, -116.947845]","[34.279305, -117.036848]",1755.9,2353.9,1,,15257.8,15384,34.297282,-116.947845,(GMT-08:00) America/Los_Angeles,2017-12-29,0.78,https://www.strava.com/activities/1347041587
1347041658,Run,07.01.2018 16:57:20,17,Afternoon Run,93.8,10.033,9.35,6.42,8.28,103.2,157.3,188,82.1,NA-US-CA-Santee,0.5,"[32.855432, -116.965102]","[32.853614, -116.960588]",96,137.9,1,,16145.8,6207,32.855432,-116.965102,(GMT-08:00) America/Los_Angeles,2018-01-07,0.64,https://www.strava.com/activities/1347041658
1354095790,Run,09.01.2018 19:08:23,19.1,Evening Run,13.4,1.326,10.15,5.91,6.71,0,128.3,149,86.6,NA-US-CA-Coronado,0,"[32.721218, -117.150067]","[32.720838, -117.150048]",40.7,43.5,22,,2133.2,807,32.721218,-117.150067,(GMT-08:00) America/Los_Angeles,2018-01-09,,https://www.strava.com/activities/1354095790
1361055269,Run,16.01.2018 18:47:05,18.8,Evening Run,16.9,2.257,7.49,8.01,9.4,4.1,,,89.1,NA-US-CA-Coronado,0,"[32.720696, -117.149868]","[32.7203, -117.150056]",40.7,45.9,46,,3631.6,2068,32.720696,-117.149868,(GMT-08:00) America/Los_Angeles,2018-01-16,0.11,https://www.strava.com/activities/1361055269
1364096759,Run,18.01.2018 06:49:11,6.8,Morning Run,76.2,8.056,9.46,6.34,7.61,116.1,134.3,151,84.9,NA-US-CA-Santee,0,"[32.853566, -116.960505]","[32.853618, -116.960482]",102.4,160.9,1,,12964.6,4594,32.853566,-116.960505,(GMT-08:00) America/Los_Angeles,2018-01-18,0.9,https://www.strava.com/activities/1364096759
1366750099,Run,20.01.2018 07:21:15,7.4,Morning Run,85.5,10.022,8.53,7.03,8.5,47.6,126.9,137,85,NA-US-CA-La Jolla,0,"[32.758306, -117.242055]","[32.758514, -117.242498]",1.3,14.7,9,,16129,5280,32.758306,-117.242055,(GMT-08:00) America/Los_Angeles,2018-01-20,0.3,https://www.strava.com/activities/1366750099
1381218586,Run,23.01.2018 19:00:56,19,Evening Run,9.2,1.521,6.02,9.97,12.08,0,115.8,146,96,NA-US-CA-Coronado,0,"[32.721226, -117.150857]","[32.721124, -117.150892]",40.7,42.8,43,,2447.6,1588,32.721226,-117.150857,(GMT-08:00) America/Los_Angeles,2018-01-23,,https://www.strava.com/activities/1381218586
1381218601,Run,23.01.2018 19:28:52,19.5,Evening Run,5,0.388,12.92,4.64,6.04,0,140.1,148,80.2,NA-US-CA-Coronado,0.1,"[32.720267, -117.150885]","[32.720911, -117.150036]",40.7,41.6,13,,625,301,32.720267,-117.150885,(GMT-08:00) America/Los_Angeles,2018-01-23,,https://www.strava.com/activities/1381218601
1381218743,Run,28.01.2018 06:18:19,6.3,Morning Run,308.4,26.71,11.55,5.2,23.26,88.3,148,180,77.5,NA-US-FL-Miami Beach,0.9,"[25.782147, -80.189303]","[25.773981, -80.187171]",-2.5,18.6,62,,42986.2,18899,25.782147,-80.189303,(GMT-05:00) America/New_York,2018-01-28,0.21,https://www.strava.com/activities/1381218743
1401332601,Run,06.02.2018 19:07:59,19.1,Evening Run,3.4,0.362,9.3,6.45,7.83,0,114.6,131,87.3,NA-US-CA-Coronado,0.1,"[32.720598, -117.150877]","[32.720199, -117.150095]",40.7,42.3,19,,582.4,463,32.720598,-117.150877,(GMT-08:00) America/Los_Angeles,2018-02-06,,https://www.strava.com/activities/1401332601
1401332621,Run,09.02.2018 07:08:21,7.1,Morning Run,60.5,6.097,9.92,6.05,7.61,110,142.3,178,83.7,NA-US-CA-Santee,0.5,"[32.858156, -116.959748]","[32.853615, -116.960522]",109.9,161,1,,9812.5,3696,32.858156,-116.959748,(GMT-08:00) America/Los_Angeles,2018-02-09,1.12,https://www.strava.com/activities/1401332621
1401332675,Run,10.02.2018 07:22:20,7.4,Morning Run,104.2,11.023,9.45,6.35,8.05,45.7,157.3,200,83,NA-US-CA-La Jolla,0.8,"[32.761049, -117.234231]","[32.758422, -117.242417]",1.4,14.6,10,,17739.3,6865,32.761049,-117.234231,(GMT-08:00) America/Los_Angeles,2018-02-10,0.26,https://www.strava.com/activities/1401332675
1409754247,Run,12.02.2018 06:59:16,7,Morning Run,49.4,5.027,9.83,6.11,7.83,93.3,149,173,82.8,NA-US-CA-Santee,0,"[32.853695, -116.96061]","[32.853626, -116.960475]",106.1,174,1,,8090.8,3021,32.853695,-116.96061,(GMT-08:00) America/Los_Angeles,2018-02-12,1.15,https://www.strava.com/activities/1409754247
1409754246,Run,14.02.2018 07:45:05,7.8,Morning Run,38.1,4.073,9.36,6.41,8.95,61.5,149.9,168,84.4,NA-US-CA-Santee,0,"[32.853574, -116.960519]","[32.853565, -116.960512]",109.8,161.5,1,,6554.4,2327,32.853574,-116.960519,(GMT-08:00) America/Los_Angeles,2018-02-14,0.94,https://www.strava.com/activities/1409754246
1415147091,Run,18.02.2018 07:03:33,7.1,Morning Run,246,26.322,9.35,6.42,11.86,344.9,164.8,182,83.3,NA-US-TX-Austin,0.9,"[30.264085, -97.743943]","[30.271476, -97.741484]",130.7,209.1,142,,42361.5,14769,30.264085,-97.743943,(GMT-06:00) America/Chicago,2018-02-18,0.81,https://www.strava.com/activities/1415147091
1424108912,Run,21.02.2018 07:32:05,7.5,Morning Run,49.1,5.05,9.72,6.17,8.5,54.2,155.6,175,84.2,NA-US-CA-Santee,0,"[32.853622, -116.960583]","[32.853706, -116.960501]",105,137,1,,8127,2945,32.853622,-116.960583,(GMT-08:00) America/Los_Angeles,2018-02-21,0.67,https://www.strava.com/activities/1424108912
1424108588,Run,24.02.2018 07:23:18,7.4,Morning Run,140.5,13.356,10.52,5.7,8.28,292.9,144.7,179,83,NA-US-CA-La Jolla,0,"[32.903413, -117.221279]","[32.903354, -117.221314]",11.4,119.8,2,,21494.4,9073,32.903413,-117.221279,(GMT-08:00) America/Los_Angeles,2018-02-24,1.36,https://www.strava.com/activities/1424108588
1432710387,Run,27.02.2018 18:37:13,18.6,Evening Run,7.5,0.708,10.54,5.69,6.49,0,121.6,136,91.1,NA-US-CA-Coronado,0.1,"[32.720017, -117.150832]","[32.720862, -117.149971]",40.7,45.8,16,,1140.1,849,32.720017,-117.150832,(GMT-08:00) America/Los_Angeles,2018-02-27,,https://www.strava.com/activities/1432710387
1432710517,Run,01.03.2018 07:22:43,7.4,Morning Run,48.7,5.24,9.29,6.46,8.72,81.3,151.7,186,84.2,NA-US-CA-Santee,0,"[32.853517, -116.960436]","[32.853682, -116.960506]",109.8,161,1,,8433.5,2996,32.853517,-116.960436,(GMT-08:00) America/Los_Angeles,2018-03-01,0.96,https://www.strava.com/activities/1432710517
1432710408,Run,02.03.2018 07:03:10,7.1,Morning Run,44.9,5.112,8.77,6.84,8.72,37.2,151.3,175,84.7,NA-US-CA-Santee,0,"[32.853542, -116.960505]","[32.853594, -116.960533]",106,128,1,,8226.4,2691,32.853542,-116.960505,(GMT-08:00) America/Los_Angeles,2018-03-02,0.45,https://www.strava.com/activities/1432710408
1434511124,Run,03.03.2018 07:21:12,7.4,Morning Run,142.6,16.021,8.9,6.74,8.5,112.7,151,189,83.8,NA-US-CA-La Jolla,0,"[32.758355, -117.242084]","[32.758252, -117.242412]",1.1,30,5,,25783.2,9539,32.758355,-117.242084,(GMT-08:00) America/Los_Angeles,2018-03-03,0.44,https://www.strava.com/activities/1434511124
1437013003,Run,04.03.2018 18:11:14,18.2,Evening Run,50.4,5.09,9.89,6.06,7.61,67.8,143.4,167,81.5,NA-US-CA-Santee,0,"[32.853519, -116.960667]","[32.853626, -116.960556]",109.3,160.9,1,,8192.1,3022,32.853519,-116.960667,(GMT-08:00) America/Los_Angeles,2018-03-04,0.83,https://www.strava.com/activities/1437013003
1441814492,Run,06.03.2018 18:59:31,19,Evening Run,24,2.517,9.53,6.29,7.83,0,118.2,129,83.8,NA-US-CA-Coronado,0.1,"[32.720991, -117.15005]","[32.720278, -117.150849]",40.7,43.2,8,,4051.5,1628,32.720991,-117.15005,(GMT-08:00) America/Los_Angeles,2018-03-06,,https://www.strava.com/activities/1441814492
1446935442,Run,10.03.2018 07:04:02,7.1,Morning Run,246,26.457,9.3,6.45,11.86,330.3,130.5,164,84.1,NA-US-DC-Washington,4.8,"[38.892109, -77.030978]","[38.890164, -76.975137]",0.9,60.3,1,,42578.1,14761,38.892109,-77.030978,(GMT-05:00) America/New_York,2018-03-10,0.78,https://www.strava.com/activities/1446935442
1455350998,Run,14.03.2018 07:28:03,7.5,Morning Run,48.4,5.098,9.49,6.32,8.72,35.9,147.9,167,84.6,NA-US-CA-Santee,0,"[32.853562, -116.960615]","[32.853612, -116.96057]",106,126.8,1,,8204.5,2903,32.853562,-116.960615,(GMT-08:00) America/Los_Angeles,2018-03-14,0.44,https://www.strava.com/activities/1455350998
1455351014,Run,15.03.2018 19:13:00,19.2,Evening Run,95.7,10.067,9.51,6.31,8.28,102,154.6,175,82.5,NA-US-CA-Santee,0,"[32.85359, -116.960635]","[32.853653, -116.960582]",96,137.9,1,,16200.6,5998,32.85359,-116.960635,(GMT-08:00) America/Los_Angeles,2018-03-15,0.63,https://www.strava.com/activities/1455351014
1464226591,Run,21.03.2018 06:51:45,6.9,Morning Run,97,10.235,9.48,6.33,8.05,146.7,151.8,180,83.7,NA-US-CA-Santee,0,"[32.853456, -116.960658]","[32.853763, -116.960535]",105,201.6,1,,16471.3,5899,32.853456,-116.960658,(GMT-08:00) America/Los_Angeles,2018-03-21,0.89,https://www.strava.com/activities/1464226591
