id,type,type_m,x_gear_name,start_date_local,x_start_h,name,x_min,x_km,x_min/km,km/h,x_max_km/h,x_mi,x_min/mi,x_mph,x_max_mph,total_elevation_gain,x_elev_m/km,average_heartrate,max_heartrate,average_cadence,average_watts,kilojoules,commute,private,visibility,workout_type,x_nearest_city_start,x_start_locality,x_end_locality,x_dist_start_end_km,start_latlng,end_latlng,elev_low,elev_high,kudos_count,comment_count,achievement_count,athlete,athlete_count,average_speed,average_temp,display_hide_heartrate_option,distance,elapsed_time,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,location_city,location_country,location_state,manual,map,max_speed,moving_time,photo_count,pr_count,resource_state,start_date,start_latitude,start_longitude,timezone,total_photo_count,trainer,upload_id,upload_id_str,utc_offset,x_date,x_elev_%,x_url
2945759282,Run,Run,,20.12.2019,15.6,Afternoon Run,10.1,1.116,9.08,6.61,7.2,0.694,14.61,4.11,4.47,0,,122.3,132,79.7,,,0,0,everyone,,,,,,,,,,1,0,0,{id},1,1.836,25,1,1116.4,608,garmin_push_4353786710,0,0,,1,0,0,,,,0,{id},2,608,0,0,2,20.12.2019 23:35:04,,,(GMT-08:00) America/Los_Angeles,0,1,3136610366,3136610366,-28800,12/20/2019,,https://www.strava.com/activities/2945759282
868156435,Run,Run,,21.01.2017,7.3,Morning Run,88.8,18.536,4.79,12.52,14.76,11.518,7.71,7.78,9.17,29.5,1.59,,,84.9,,,0,0,everyone,,NA-US-CA-La Jolla,,,0,"[32.758368, -117.242017]","[32.758216, -117.241834]",1.3,20.1,0,0,8,{id},2,3.479,,0,18535.6,5804,garmin_push_1536230543,0,0,,0,0,0,,,,0,{id},4.1,5328,0,1,2,21.01.2017 15:17:12,32.758368,-117.242017,(GMT-08:00) America/Los_Angeles,0,0,960747023,960747023,-28800,1/21/2017,0.16,https://www.strava.com/activities/868156435
3032311567,Elliptical,Elliptical,,21.01.2020,15.6,Afternoon Activity,32.1,,,,,,,,,0,,125.4,152,56.9,,,0,0,everyone,,,,,,,,,,1,0,0,{id},1,0,26,1,0,1927,garmin_push_4464060854,0,0,,1,0,0,,,,0,{id},0,1927,0,0,2,21.01.2020 23:36:47,,,(GMT-08:00) America/Los_Angeles,0,1,3234463670,3234463670,-28800,1/21/2020,,https://www.strava.com/activities/3032311567
874646834,Run,Run,,21.02.2017,7.6,Morning Run,39.8,6.659,5.98,10.03,12.96,4.137,9.63,6.23,8.05,57.3,8.6,,,84,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853561, -116.960555]","[32.853625, -116.96051]",109.9,161.4,0,0,3,{id},1,2.786,,0,6658.6,2390,garmin_push_1584849813,0,0,,0,0,0,,,,0,{id},3.6,2390,0,0,2,21.02.2017 15:33:01,32.853561,-116.960555,(GMT-08:00) America/Los_Angeles,0,0,967701262,967701262,-28800,2/21/2017,0.86,https://www.strava.com/activities/874646834
875820241,Run,Run,,21.02.2017,18.4,Evening Run,31.4,5.309,5.92,10.14,12.96,3.299,9.52,6.3,8.05,0,,,,84.8,,,0,0,everyone,,NA-US-CA-Coronado,,,0.1,"[32.720227, -117.150072]","[32.721417, -117.150178]",40.7,43.1,0,0,1,{id},33,2.817,,0,5309.5,1984,garmin_push_1586412863,0,0,,0,0,0,,,,0,{id},3.6,1885,0,0,2,22.02.2017 02:22:40,32.720227,-117.150072,(GMT-08:00) America/Los_Angeles,0,0,968963816,968963816,-28800,2/21/2017,,https://www.strava.com/activities/875820241
1424108912,Run,Run,,21.02.2018,7.5,Morning Run,49.1,8.127,6.04,9.94,13.68,5.05,9.72,6.17,8.5,54.2,6.67,155.6,175,84.2,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853622, -116.960583]","[32.853706, -116.960501]",105,137,2,0,2,{id},1,2.76,,1,8127,2945,garmin_push_2518890793,0,0,,1,0,0,,,,0,{id},3.8,2945,0,0,2,21.02.2018 15:32:05,32.853622,-116.960583,(GMT-08:00) America/Los_Angeles,0,0,1536766768,1536766768,-28800,2/21/2018,0.67,https://www.strava.com/activities/1424108912
914496070,Run,Run,,21.03.2017,7.1,Morning Run,46.1,8.26,5.58,10.76,13.68,5.133,8.98,6.68,8.5,42,5.08,138.7,168,84.9,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853578, -116.960562]","[32.853622, -116.960496]",106.1,137,0,0,6,{id},1,2.988,,1,8260.1,2771,garmin_push_1639962165,0,0,,1,0,0,,,,0,{id},3.8,2764,0,1,2,21.03.2017 14:05:59,32.853578,-116.960562,(GMT-08:00) America/Los_Angeles,0,0,1014084630,1014084630,-25200,3/21/2017,0.51,https://www.strava.com/activities/914496070
914496093,Run,Run,,21.03.2017,18.6,Evening Run,33.1,6.636,5,12.01,18,4.123,8.04,7.46,11.18,0,,135.2,165,87.4,,,0,0,everyone,,NA-US-CA-Coronado,,,0.1,"[32.720941, -117.150926]","[32.72017, -117.150835]",40.7,41.8,0,0,6,{id},29,3.336,,1,6636.1,1989,garmin_push_1639962230,0,0,,1,0,0,,,,0,{id},5,1989,0,3,2,22.03.2017 01:34:10,32.720941,-117.150926,(GMT-08:00) America/Los_Angeles,0,0,1014084665,1014084665,-25200,3/21/2017,,https://www.strava.com/activities/914496093
1464226591,Run,Run,,21.03.2018,6.9,Morning Run,97,16.471,5.89,10.18,12.96,10.235,9.48,6.33,8.05,146.7,8.91,151.8,180,83.7,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853456, -116.960658]","[32.853763, -116.960535]",105,201.6,1,0,0,{id},1,2.829,,1,16471.3,5899,garmin_push_2569711046,0,0,,1,0,0,,,,0,{id},3.6,5823,0,0,2,21.03.2018 13:51:45,32.853456,-116.960658,(GMT-08:00) America/Los_Angeles,0,0,1578269982,1578269982,-25200,3/21/2018,0.89,https://www.strava.com/activities/1464226591
1000340512,Run,Run,,21.05.2017,7.7,Morning Run,46.2,8.172,5.65,10.61,13.68,5.078,9.1,6.59,8.5,25.4,3.11,135.9,161,82.6,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853527, -116.960554]","[32.853618, -116.960476]",106,126.3,0,0,1,{id},1,2.948,,1,8172.5,2778,garmin_push_1748535170,0,0,,1,0,0,,,,0,{id},3.8,2772,0,1,2,21.05.2017 14:39:00,32.853527,-116.960554,(GMT-08:00) America/Los_Angeles,0,0,1102585719,1102585719,-25200,5/21/2017,0.31,https://www.strava.com/activities/1000340512
1587898156,Run,Run,,21.05.2018,19.3,Evening Run,30.4,4.83,6.3,9.52,13.32,3.001,10.14,5.92,8.28,39.4,8.16,139,152,87.7,,,0,0,everyone,,NA-US-CA-Santee,,,0,"[32.853628, -116.960583]","[32.853582, -116.960517]",106.6,137,2,0,0,{id},1,2.645,,1,4830.2,1828,garmin_push_2717535949,0,0,,1,0,0,,,,0,{id},3.7,1826,0,0,2,22.05.2018 02:18:29,32.853628,-116.960583,(GMT-08:00) America/Los_Angeles,0,0,1706885425,1706885425,-25200,5/21/2018,0.82,https://www.strava.com/activities/1587898156
2430260624,Run,Run,,21.05.2019,5.2,Morning Run,15.2,5.527,2.74,21.89,46.8,3.434,4.41,13.6,29.08,34,6.15,,,88.4,,,0,0,everyone,,NA-US-AK-Ketchikan,,,4.8,"[55.264884, -131.478868]","[55.287557, -131.543873]",-4,28,0,0,6,{id},1,6.081,,0,5527.2,909,garmin_push_3723469750,0,0,,0,0,0,,,,0,{id},13,909,0,6,2,21.05.2019 13:10:02,55.264884,-131.478868,(GMT-09:00) America/Juneau,0,0,2583113800,2583113800,-28800,5/21/2019,0.62,https://www.strava.com/activities/2430260624
2430260612,Run,Run,,21.05.2019,16.8,Afternoon Run,32.2,6.071,5.3,11.32,34.2,3.772,8.53,7.03,21.25,7,1.15,133.7,173,80.1,,,0,0,everyone,,NA-US-AK-Hydaburg,,,0.8,"[55.63713, -132.274507]","[55.644075, -132.279051]",-393,-370,0,0,3,{id},1,3.144,,1,6070.9,2593,garmin_push_3723469767,0,0,,1,0,0,,,,0,{id},9.5,1931,0,2,2,22.05.2019 00:48:22,55.63713,-132.274507,(GMT-09:00) America/Juneau,0,0,2583113818,2583113818,-28800,5/21/2019,0.12,https://www.strava.com/activities/2430260612
